Date,Meal,Calories,Fat (g),Protein (g),Carbs (g),Fiber (g)
2026-01-01,Breakfast,450,12,35,48,6
2026-01-01,Lunch,680,22,45,65,8
2026-01-01,Dinner,720,28,40,70,5
2026-01-01,Snack,200,8,12,20,2
2026-01-02,Breakfast,400,10,30,50,5
2026-01-02,Lunch,650,20,42,60,7
2026-01-02,Dinner,700,25,38,68,4
2026-01-02,Snack,180,6,10,18,2
2026-01-03,Breakfast,420,11,33,45,6
2026-01-03,Lunch,700,24,48,62,9
2026-01-03,Dinner,680,26,36,72,5
2026-01-03,Snack,220,9,14,22,3
2026-01-04,Breakfast,380,9,28,52,4
2026-01-04,Lunch,720,23,50,58,8
2026-01-04,Dinner,750,30,42,65,6
2026-01-04,Snack,190,7,11,19,2
2026-01-05,Breakfast,460,13,36,46,7
2026-01-05,Lunch,640,19,40,64,6
2026-01-05,Dinner,710,27,39,71,5
2026-01-05,Snack,210,8,13,21,3
2026-01-06,Breakfast,440,12,34,47,6
2026-01-06,Lunch,670,21,44,63,8
2026-01-06,Dinner,690,25,37,69,5
2026-01-06,Snack,200,8,12,20,2
2026-01-07,Breakfast,410,10,31,49,5
2026-01-07,Lunch,660,20,43,61,7
2026-01-07,Dinner,730,28,41,67,6
2026-01-07,Snack,195,7,11,19,2
2026-01-08,Breakfast,430,11,32,48,6
2026-01-08,Lunch,690,22,46,64,8
2026-01-08,Dinner,710,26,38,70,5
2026-01-08,Snack,205,8,12,20,2
2026-01-09,Breakfast,400,10,30,50,5
2026-01-09,Lunch,650,20,42,60,7
2026-01-09,Dinner,700,25,38,68,4
2026-01-09,Snack,180,6,10,18,2
2026-01-10,Breakfast,450,12,35,48,6
2026-01-10,Lunch,680,22,45,65,8
2026-01-10,Dinner,720,28,40,70,5
2026-01-10,Snack,200,8,12,20,2
2026-01-11,Breakfast,420,11,33,45,6
2026-01-11,Lunch,700,24,48,62,9
2026-01-11,Dinner,680,26,36,72,5
2026-01-11,Snack,220,9,14,22,3
2026-01-12,Breakfast,460,13,36,46,7
2026-01-12,Lunch,640,19,40,64,6
2026-01-12,Dinner,710,27,39,71,5
2026-01-12,Snack,210,8,13,21,3
2026-01-13,Breakfast,440,12,34,47,6
2026-01-13,Lunch,670,21,44,63,8
2026-01-13,Dinner,690,25,37,69,5
2026-01-13,Snack,200,8,12,20,2
2026-01-14,Breakfast,410,10,31,49,5
2026-01-14,Lunch,660,20,43,61,7
2026-01-14,Dinner,730,28,41,67,6
2026-01-14,Snack,195,7,11,19,2
2026-01-15,Breakfast,450,12,35,48,6
2026-01-15,Lunch,680,22,45,65,8
2026-01-15,Dinner,720,28,40,70,5
2026-01-15,Snack,200,8,12,20,2
2026-01-16,Breakfast,400,10,30,50,5
2026-01-16,Lunch,650,20,42,60,7
2026-01-16,Dinner,700,25,38,68,4
2026-01-16,Snack,180,6,10,18,2
2026-01-17,Breakfast,420,11,33,45,6
2026-01-17,Lunch,700,24,48,62,9
2026-01-17,Dinner,680,26,36,72,5
2026-01-17,Snack,220,9,14,22,3
2026-01-18,Breakfast,380,9,28,52,4
2026-01-18,Lunch,720,23,50,58,8
2026-01-18,Dinner,750,30,42,65,6
2026-01-18,Snack,190,7,11,19,2
2026-01-19,Breakfast,460,13,36,46,7
2026-01-19,Lunch,640,19,40,64,6
2026-01-19,Dinner,710,27,39,71,5
2026-01-19,Snack,210,8,13,21,3
2026-01-20,Breakfast,440,12,34,47,6
2026-01-20,Lunch,670,21,44,63,8
2026-01-20,Dinner,690,25,37,69,5
2026-01-20,Snack,200,8,12,20,2
2026-01-21,Breakfast,410,10,31,49,5
2026-01-21,Lunch,660,20,43,61,7
2026-01-21,Dinner,730,28,41,67,6
2026-01-21,Snack,195,7,11,19,2
2026-01-22,Breakfast,450,12,35,48,6
2026-01-22,Lunch,680,22,45,65,8
2026-01-22,Dinner,720,28,40,70,5
2026-01-22,Snack,200,8,12,20,2
2026-01-23,Breakfast,400,10,30,50,5
2026-01-23,Lunch,650,20,42,60,7
2026-01-23,Dinner,700,25,38,68,4
2026-01-23,Snack,180,6,10,18,2
2026-01-24,Breakfast,420,11,33,45,6
2026-01-24,Lunch,700,24,48,62,9
2026-01-24,Dinner,680,26,36,72,5
2026-01-24,Snack,220,9,14,22,3
2026-01-25,Breakfast,380,9,28,52,4
2026-01-25,Lunch,720,23,50,58,8
2026-01-25,Dinner,750,30,42,65,6
2026-01-25,Snack,190,7,11,19,2
2026-01-26,Breakfast,460,13,36,46,7
2026-01-26,Lunch,640,19,40,64,6
2026-01-26,Dinner,710,27,39,71,5
2026-01-26,Snack,210,8,13,21,3
2026-01-27,Breakfast,440,12,34,47,6
2026-01-27,Lunch,670,21,44,63,8
2026-01-27,Dinner,690,25,37,69,5
2026-01-27,Snack,200,8,12,20,2
2026-01-28,Breakfast,410,10,31,49,5
2026-01-28,Lunch,660,20,43,61,7
2026-01-28,Dinner,730,28,41,67,6
2026-01-28,Snack,195,7,11,19,2
2026-01-29,Breakfast,450,12,35,48,6
2026-01-29,Lunch,680,22,45,65,8
2026-01-29,Dinner,720,28,40,70,5
2026-01-29,Snack,200,8,12,20,2
2026-01-30,Breakfast,430,11,32,48,6
2026-01-30,Lunch,690,22,46,64,8
2026-01-30,Dinner,710,26,38,70,5
2026-01-30,Snack,205,8,12,20,2
